of the Unleavened Bread,ܕܦܛܝܪ̈ܐ
of the Second Station of the Night of the Eve of Preparation,ܕܩܘܡܐ ܕܬܪ̈ܝܢ ܕܠܠܝܐ ܕܥܪܘܒܬܐ:
"of the Third Station of the Night, of the Great Eve of Preparation, of the Crucifixion",ܩܘܡܐ ܕܬ̈ܠܬܐ ܕܠܠܝܐ ܕܥܪܘܒܬܐ ܪܒܬܐ ܕܙܩܝ܏ܦܘ:
"of the Morning of the Eve of Preparation, of the Crucifixion",ܕܨܦܪܐ ܕܥܪܘܒܬܐ ܕܙܩܝܦܘܬܐ.
"of the Third Hour, of the Great Eve of Preparation",ܕܬܠ̈ܬ ܫܥܝܢ ܕܥܪܘܒܬܐ ܪܒܬܐ
"of mid-Day of the Honourable Eve of Preparation, of the Crucifixion",ܕܦܠܓܗ ܕܝܘܡܐ ܕܥܪܘܒܬܐ ܡܝܲܩܪܬܐ ܕܙܩܝܦܘܬܐ
of the Great Sabbath of the Gospel,ܕܫܒܬܐ ܪܒܬܐ ܕܣܒܪܬܐ
"The Order of the Great First Day in the Week of the saving Resurrection of Christ, our God, First in the moning",ܛܟܣܐ ܕܚܕܒܫܒܐ ܪܒܐ ܕܩܝܡܬܐ ܦܪܘܩܝܬܐ ܕܡܫܝܚܐ ܐܠܗܐ ܕܝܠܢ ܩܕܡܐܝܬ ܕܨܦܪܐ
of the Moment of the peace,ܕܥܕܢܐ ܕܫܠܡܐ
of the Offering of the Resurrection of our Lord,ܕܩܘܪܒܐ ܕܩܝܡܬܐ ܕܡܪܢ:
of the Third Day of Whites,ܕܝܘܡ ܬ̈ܠܬܝܐ ܕܚܘܪ̈ܐ
of the Fourth of the Whites,ܕܐܪ̈ܒܥܐ ܕܚܘܪ̈ܐ
"of Day Five, of the Whites",ܕܝܘܡ ܚ̈ܡܫܐ ܕܚܘܪ̈ܐ
"of the Eve of Preparation, of the Whites",ܕܥܪܘܒܬܐ ܕܚܘܪ̈ܐ
of the Sabbath of the Rest,ܕܫܒܬܐ ܕܢܝ̇ܚܬܐ
"of the First (Day) of the Week, after the New",ܕܚܕܒܫܒܐ ܕܒܬܪ ܚܕܬܐ:
"of the First (Day) of the Week, the 2nd, after the New First (Day) of the Week",ܕܚܕܒܫܒܐ ܕ܏ܒ ܕܒܬܪ ܚܕܒܫܒܐ ܚܕܬܐ
"of the First (Day) of the Week, the Third, after the Manifestation",ܕܚܕܒܫܒܐ ܕܬ̈ܠܬܐ ܕܒܬܪ ܚܕܬܐ
"of the First (Day) of the Week, the 4th, after the New",ܕܚܕܒܫܒܐ ܕ܏ܕ ܕܒܬܪ ܚܕܬܐ:
of the Holy Feast of the Ascension of our Lord into Heaven,ܕܥܐܕܐ ܩܕܝܫܐ ܕܣܘܠܩܗ ܕܡܪܢ ܠܫܡܝܐ
of the Commemoration of the God-Bearer; of the Feast of the ears,ܕܕܘܟܪܢܗ ܕܝܠܕܬ ܐܠܗܐ ܕܥܐܕܐ ܕܫ̈ܒܠܐ
"of the Holy and Great First (Day) of the Week, of Pentecost",ܕܚܕܒܫܒܐ ܩܕܝܫܐ ܘܪܒܐ ܕܦܢܛܝܩܘܣܛܝ
"of the Eve of Preparation, of Gold, that is after Pentecost",ܕܥܪܘܒܬܐ ܕܕܗܒܐ ܗ̇ܝ ܕܒܬܪ ܦܢܛܝܩܘܣܛܝ
"of the First (Day) of the Week, after Pentecost",ܕܚܕܒܫܒܐ ܕܒܬܪ ܥܐܕܐ ܕܦܢܛܝܩܘܣܛܝ
"Furthermore, the Order of the First (Day) of the Week, the Eighth",ܬܘܒ ܛܟܣܐ ܕܚ̈ܕܒܫܒܐ ܬܡ̇ܢܝܐ
"of the First (Day) of the Week, Second(?)",ܕܚܕܒܫܒܐ ܬܪ[...]
"of the First (Day) of the Week, the Third",ܕܚܕܒܫܒܐ ܬܠܝܬܝܐ
"of the First (Day) of the Week, the Fourth",ܕܚܕܒܫܒܐ ܪܒܝܥܝܐ
"of the First (Day) of the Week, the Fifth",ܕܚܕܒܫܒܐ ܕܚ̈ܡܫܐ
"of the First (Day) of the Week, the Sixth",ܕܚܕܒܫܒܐ ܕܐܫ̈ܬܐ
"of the First (Day) of the Week, of the Seventh ",ܕܚܕܒܫܒܐ ܕܫ̈ܒܥܐ
of the Commemoration of the Apostles Peter and Paul,ܕܕܘܟܪܢܐ ܕܫ̈ܠܝܚܐ ܦܛܪܘܣ ܘܦܘܠܘܣ
for the Commemoration of Mar Thomas the Apostle,ܒܕܘܟܪܢ ܡܪܝ ܬܐܘܡܐ ܫܠܝܚܐ:
"of the Holy and magnificent Feast of the transfiguration, that is to say of Mount Tabor",ܕܥܐܕܐ ܩܕܝܫܐ (ܘ)ܡܪܢܝܐ ܕܡ̈ܛܠܠܐ ܐܘܟܝܬ ܕܛܘܪ ܬܒܘܪ
"Furthermore, Readings of the Holy Feast of Assumption, which is the removal of the Blessed virgin mary, the God-Bearer",ܬܘܒ ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܩܕܝܫܐ ܕܫܘܢܝܗ̇ ܐܘܟ̣ܝܬ ܥܘܢܕܝܗ̇ ܕܡܒܪܟܬܐ ܒܬܘܠܬܐ ܡܪܝܡ ܝ̇ܠܕܬ ܐܠܗܐ
of the Holy and Honourable Feast of the Finding of the Holy and Life-Creating Cross,ܕܥܐܕܐ ܩܕܝܫܐ ܘܡܝܩܪܐ ܕܫܟܚܬܗ ܕܨܠܝܒܐ ܩܕܝܫܐ ܘܡܲܥܒܕ ܚ̈ܝܐ
"Furthermore, the Order on Last First (Day) of the Week, the Eighth, of the praiseworthy Resurrection",ܬܘܒ ܛܟܣܐ ܥܠ ܚܕ̈ܒܫܒܐ ܐܚܪ̈ܢܐ ܬܡ̈ܢܝܐ ܕܩܝܡܬܐ ܡܫܲܒܚܬܐ
"of the First (Day) of the Week, the Second, of the exalted Resurrection",ܕܚܕܒܫܒܐ ܕܬܪ̈ܝܢ ܕܩܝܡܬܐ ܡܪܡܪܡܬܐ
"of the First (Day) of the Week, the Third, of the absolving Resurrection",ܕܚܕܒܫܒܐ ܬܠܝܬܝܐ ܏ܕܩܝܡ ܡܚܲܣܝܢܝܬܐ
"of the First (Day) of the Week, the Fourth, of the divine Resurrection",ܕܚܕܒܫܒܐ ܕܐܪ̈ܒܥܐ ܕܩܝܡܬܐ ܐܠܗܝܬܐ
"of the First (Day) of the Week, the Eighth, of the Rest-giving Resurrection",ܕܚܕܒܫܒܐ ܚܡܝܫܝܐ ܏ܕܩܝܡ ܡܢܚܲܡܢܝܬܐ
"of the First (Day) of the Week, the Sixth, of the exculting Resurrection",ܕܚܕܒܫܒܐ ܫܬܝܬܝܐ ܕܩܝܡܬܐ ܡܦܨܚܢܝܬܐ
"of the First (Day) of the Week, the Seventh, of the discerning Resurrection",ܕܚܕܒܫܒܐ ܕܫ̈ܒܥܐ ܕܩܝܡܬܐ ܡܒ̣ܝܐܢܝܬܐ
"of the First (Day) of the Week, the Eighth, of the extolled Resurrection of Christ",ܕܚܕܒܫܒܐ ܬܡܝܢܝܐ ܕܩܝܡܬܐ ܡܩܲܠܣܬܐ ܕܡܫܝܚܐ
"for the Commemoration of Mar Jacob the Teacher and all Teachers, and Bishops",ܒܕܘܟܪܢ ܡܪܝ ܝܥܩܘܒ ܡܲܠܦܢܐ ܘܕܡ̈ܠܦܢܐ ܘܐܦܝ̈ܣ(ܩ)ܘܦܐ ܟܠܗܘܢ
"of the Commemoration of Barbara and the Holy Women martha, Shemuni and Julliette, and Pausila and her daughters",ܕܕܘܟܪܢܐ ܕܒܪܒܪܐ ܘܢܫ̈ܐ ܩܕ̈ܝܫܬܐ ܡܪܬܝ ܫܡܘܢܝ ܘܝܘܠܝܛܝ ܘܦܘ̣ܣܝܠܐ ܘܒ̈ܢܬܗ̇
"of the Commemoration of Barbara and the Holy Women martha, Shamuni and Julliette, and Pausila and her daughters",ܕܕܘܟܪܢܐ ܕܒܪܒܪܐ ܘܢܫ̈ܐ ܩܕ̈ܝܫܬܐ ܡܪܬܝ ܫܡܘܢܝ ܘܝܘܠܝܛܝ ܘܦܘ̣ܣܝܠܐ ܘܒ̈ܢܬܗ̇
"of the First (Day) of the Week, of the Eighth, of these revolving First (Days) of the Week, after Pentecost",ܕܚܕܒܫܒܐ ܕܬܡ̈ܢܝܐ ܗܠܝܢ ܕܚܕܒ̈ܫܒܐ ܒܬܪ ܦܢܛܝ܏ܩܘ ܡܬܟܲܪܟܝܢ
"of the First (Day) of the Week, the Second, of the Annunciation",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܣܘܒܪܐ
of the Holy Feast of the Birth of our Lord in Flesh,ܕܥܐܕܐ ܩܕܝܫܐ ܕܒܝܬ ܝܠܕܗ ܕܡܪܢ ܕܒܒܣܪ
of the three Commemoration (Readings?) of our Lady the Blessed Mary,ܕܕܘܟܪ̈ܢܐ ܬܠܬܐ ܕܡܪܬܝ ܡܪܝܡ ܛܘܒܢܝܬܐ
"of the First (Day) of the Week, the Second after the Birth",ܕܚܕܒܫ ܕܬܪܝܢ ܕܒܬܪ ܝܠܕܐ.
of the Holy Feast of the Manifestation of our Lord,ܕܥܐܕܐ ܩܕܝܫܐ ܕܕܢܚܗ ܕܡܪܢ
of the Commemoration of Mar John the Baptist,ܕܕܘܟܪܢܐ ܕܡܪܝ ܝܘܚܢܢ ܡܥܡܕܢܐ
of Peter and Paul,ܕܦܛܪܘܣ ܘܦܘܠܘܣ
of the Commemoration of the evangelists,ܕܕܘܟܪܢܐ ܕܐܘ̈ܢܓܠܣܛܐ
of the Commemoration of Mar Stephen,ܕܕܘܟܪܢܐ ܕܡܪܝ ܐܣܛܦܢܘܣ
of the Commemoration of the Greek Teachers,ܕܕܘܟܪܢܐ ܕܡ̈ܠܦܢܐ ܝܘ̈ܢܝܐ
"of the First (Day) of the Week, the Fifth, of the Manifestation",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܕܢܚܐ
"of the Second (Day) of the Week, of the Rogation of the Ninevites",ܕܬܪܝܢܒܫܒܐ ܕܒܥܘܬܐ ܕܢܝܢ̈ܘܝܐ
"of the Third (Day) of the Week, of the Rogation",ܕܬܠܬܒܫ ܕܒܥܘܬܐ
"of the Fourth (Day) of the Week, of the Rogation",ܕܐܪܒܥܒܫ ܕܒܥܘܬܐ
"of the Fifth (Day) of the Week, of the Rogation",ܕܚܡܫܒܫ ܕܒܥܘܬܐ
"of the First (Day) of the Week, the Sixth, of the Manifestation",ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܕܢܚܐ
"of the First (Day) of the Week, the Seventh, of the Manifestation",ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܕܕܢܚܐ
of the Commemoration of the Departed,ܕܕܘܟܪܢܐ ܕܥܢܝܕ̈ܐ
"of the First (Day) of the Week, the Eighth, of the Manifestation",ܕܚܕܒܫܒܐ ܕܬܡܢܝܐ ܕܕܢܚܐ
"of the Second (Day) of the Week, the First of the Great Fast",ܕܬܪܝܢܒܫ ܩܕܡܝܐ ܕܨܘܡܐ ܪܒܐ
"of the Third (Day) of the Week, of the First of the Fast",ܕܬܠܬܒܫܒܐ ܩܕܡܝܐ ܕܨܘܡܐ
"of First (Day) of the Week, the First, of the Fast",ܕܐܪܒܥܒܫܒܐ ܩܕܡܝܐ ܕܨܘܡܐ
"of the Fifth (Day) of the Week, the First, of the Fast",ܕܚܡܫܒܫܒܐ ܩܕܡܝܐ ܕܨܘܡܐ
"of the First (Day) of the Week, the Second of the Fast",ܕܚܕܒܫܐ ܕܬܪܝܢ ܕܨܘ:
"of the Eve of Preparation, the Third, of the Fast",ܕܥܪܘܒܬܐ ܕܬܠܬ ܕܨܘܡܐ
"of the Second (Day) of the Week, of the Middle of the Fast",ܕܬܪܝܢܒܫܒܐ ܡܨܥܝܐ ܕܨܘܡܐ
"of the Fourth (Day) of the Week, of the Middle",ܕܐܪܒܥܒܫܒܐ ܕܦܠܓܬܐ
"of the Fifth (Day) of the Week, of the Middle of the Fast",ܕܚܡܫܒܫܒܐ ܡܨܥܝܐ ܕܨܘܡܐ
"of the Eve of Preparation, the Fourth, of the Fast",ܕܥܪܘܒܬܐ ܕܐܪܒܥ ܕܨܘܡܐ
"of the Eve of Preparation, the Sixth, of the Fast, it is of Lazarus",ܕܥܪܘܒܬܐ ܕܫܬ ܕܨܘܡܐ ܘܐܝܬܝܗ̇ ܕܠܥܙܪ
"of the First (Day) of the Week, the Seventh, of the Fast, this is the Feast of the Hosannas",ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܕܨܘܡܐ ܘܐܝܬܘܗܝ ܕܐܘ̈ܫܥܢܐ
"the Second (Day) of the Week, of the Last Week of the Fast",ܬܪܝܢܒ܏ܫ ܕܫܒܬܐ ܐܚܪܝܬܐ ܕܨܘܡܐ
"of the Third (Day) of the Week, of the Last Week of the Fast",ܕܬܠܬ܏ܒܫ: ܕܫܒܬܐ ܐܚܪܝܬܐ ܕ܏ܨܘ
"of the Fourth (Day) of the Week, of the Last Week of the Great Fast",ܕܐܪܒܥܒܫܒܐ ܕܫܒܬܐ ܐܚܪܝܬܐ ܕ܏ܨܘ:
"of the Third (Day) of the Week, of the Week of Weeks",ܕܬܠܬ ܒܫܒ܏ܫ(!) ܕܫܒܬ ܫܒ̈ܐ
"of the Fifth (Day) of the Week, of the Week of Weeks",ܕܚܡܫܒܫܐ(!) ܕܫܒܬ ܫܒ̈ܐ
"of the Commemoration of Mar Giwargis the Glorious Martyr, which is in the 24th of Nisan",ܕܕܘܟܪܢܐ ܕܡܪܝ ܓܝܘܪܓܝܣ ܣܗܕܐ ܢܨܝܚܐ. ܕܗܘܐ ܒܥܣܪܝܢ ܘܐܪܒܥܐ ܒܢܝܣܢ
"of the First (Day) of the Week, after the Resurrection, also called the New",ܕܚܕܒܫܒܐ ܕܒܬܪ ܩܝܡܬܐ ܘܡܬܘܪܐ ܚܕܬܐ
"of the Fifth (Day) of the Week, of the Resurrection",ܕܚܡܫܐ ܕܚܕܒܫ ܕܩܝܡܬܐ
"of the First (Day) of the Week, the Sixth, of the Resurrection",ܕܚܕܒܫܒܐ ܕܫܬܐ܀ ܕܩܝܡܬܐ
"of the Eve of Preparation, of gold",ܕܥܪܘܒܬܐ ܕܕܗܒܐ..
"of the First (Day) of the Week, the Third of the Apostles",ܕܚܕܒ܏ܫ ܕܬܠܬܐ ܕܫܠܝܚܐ
"of the First (Day) of the Week, of the end of the period of the Apostles; and the First of the summer, also called nāusārdʾil read these of the Evangelist",ܕܚܕܒܫܒܐ ܕܫܘܠܡ ܫܒܘܥܐ ܕܫܠܝ̈ܚܐ ܘܩܕܡܝܐ ܏ܗܘ ܕܩܝܛܐ ܘܡܬܩܪܐ ܢܘܣܪܕܐܝܠ ܩܪܝ ܗܢܘܢ ܕܐܢܓܠܣܛܐ
"of the First (Day) of the Week, the Second, of summer, also called of ""Cleanse me""",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܩܝܛܐ ܘܡܬܩܪܐ ܕܚܠܠܝܢܝ
"of the First (Day) of the Week, the Third, of ""Cleanse me""",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܚܠܠܝܢܝ
"of the First (Day) of the Week, the Fifth, of ""Cleanse me""",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܚܠܠܝܢܝ
"of the First (Day) of the Week, the Sixth, of ""Cleanse me""",ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܚܠܠܝܢܝ
"of the First (Day) of the Week, the Seventh, of ""Cleanse me""",ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܕܚܠܠܝܢܝ
"of the First (Day) of the Week, the First, of the period of Mar Elijah",ܕܚܕܒܫܒܐ ܩܕܡܝܐ ܕܫܒܘܥܐ ܕܡܪܝ ܐܠܝܐ
"of the First (Day) of the Week, the Second, of Elijah",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܐܠܝܐ.
"of the First (Day) of the Week, the Third, of Elijah",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܐܠܝܐ
of the Feast of the Finding of the Adorable Cross,ܕܥܐܕܐ ܕܫܟܚܬܗ ܕܨܠܝܒܐ ܣܓܝܕܐ
"of the First (Day) of the Week, after the Finding; and the Fourth of Elijah",ܕܚܕܒܫܒܐ ܕܒܬܪ ܫܟܚܬܐ ܘܕܐܪܒܥܐ ܕܐܠܝܐ
"of the First (Day) of the Week, the Fifth, of Elijah",ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܕܐܠܝܐ
"of the First (Day) of the Week, the Sixth, of Elijah",ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܐܠܝܐ
"of the First (Day) of the Week, the Seventh, of Elijah",ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܕܐܠܝܐ
"of the First (Day) of the Week, the Second, of Moses",ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܡܘܫܐ
"of the First (Day) of the Week, the Third, of Moses",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܡܘܫܐ
"of the First (Day) of the Week, the Fourth of Mar Moses",ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܡܘܫܐ
"of the First (Day) of the Week, the First, of the Consecration of the Church",ܕܚܕܒܫܒܐ ܩܕܡܝܐ ܕܩܘܕܫ ܥܕܬܐ..
"of the First (Day) of the Week, the Third, of Consecration of the Church",ܕܚܕܒܫܒܐ ܕܬܠܬܐ ܕܩܘܕܫ ܥܕܬܐ
Readings of the Commemoration of the Sons of Shimuni,ܩܪܝܢܐ ܕܕܟܪܘܢܐ ܕܒܢ̈ܝ ܫܡܘܢܝ
of the Commemoration of Rabban Hormizd,ܕܕܘܟܪܢܐ ܕܪܒܢ ܗܘܪܡܝܙܕ
"the Commemoration of Mar Thomas the Apostle, that is celebrated in Three Tammuz",ܕܘܟܪܢܐ ܕܡܪܝ ܬܐܘܡܐ ܫܠܝܚܐ܀ ܕܡܬܥܒܕ ܒܬܠܬܐ ܒܬܡܘܙ
"the Commemoration of Mar Qyriaqos, that falls in Twenty-Five of Tammuz",ܕܘܟܪܢܐ ܕܡܪܝ ܩܘܪܝܩܘܣ ܕܡܬܟܝܢ ܒܚܡܫܬܥܣܪ ܒܬܡܘܙ
"the Commemoration of the Catholicos and Martyr Simeon of Simeon bar Ṣabbaʿe, which is celebrated in the Sixth Eve of Preparation, of the period of summer",ܕܘܟܪܢܐ ܕܡܪܝ ܫܡܥܘܢ ܒܪܨܒܥ̈ܐ ܩܬܘܠܝܩܐ ܘܣܗܕܐ ܕܡܬܥܒܕ ܒܥܪܘܒܬܐ ܕܫܬ ܕܫܒܘܥܐ ܕܩܝܛܐ
of the Feast of the revelation of our Lord on mount Tabor; which is celebrated in the Sixth of the Month of Ab,ܕܥܐܕܐ ܕܓܠܝܢܗ ܕܡܪܢ ܕܥܠ ܛܘܪ ܬܒܘܪ ܕܡܬܥܒܕ ܒܫܬܐ ܒܝܪܚܐ ܐܒ
"on Holy First (Day) of the Week, of the Beginning of the Fast, First",ܕܥܠ ܚ܏ܕܒܫ ܩܕܝܫܐ ܕܥܠܠ ܨܘܡܐ ܏ܩܕ
"Furthermore, the Readings of the Circumcision",ܬܘܒ ܩܪ̈ܝܢܐ ܓܙܘܪܬܐ܀
"Furthermore, Readings of after the Birth",ܬܘܒ ܩܪ̈ܝܢܐ ܕܒܬܪ ܝܠܕܐ܀
"Furthermore, Readings of the Holy Feast of the Manifestation",ܬܘܒ ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܩܕܝܫܐ ܕܕܢܚܐ܀
"Furthermore, Readings after the Manifestation",ܬܘܒ ܩܪ̈ܝܢܐ ܕܒܬܪ ܕܢܚܐ܀
"Furthermore, Readings of the Manifestation, of the First (Day) of the Week, the Third, after the Manifestation",ܬܘܒ ܩܪ̈ܝܢܐ ܕܕܢܚܐ ܕܚܲܕܒܫܲܒܐ ܕܬܠܬܐ ܒܬܪ ܕܢܚܐ
"Furthermore, Readings of the First (Day) of the Week, the Fourth, after the Manifestation",ܬܘܒ ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܒܬܪ ܕܢܚܐ܀
"Furthermore, Readings of the First (Day) of the Week, the Fifth, after the Manifestation",ܬܘܒ ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܚܡܫܐ ܒܬܪ ܕܢܚܐ܀
"Furthermore, Readings in Commemoration of John the Baptist",ܬܘܒ ܩܪ̈ܝܢܐ ܕܕܘܟܪܢܐ ܕܝܘܚܢܢ ܡܥܡܕܢܐ܀
"Furthermore, the Readings of the Feast of Mar Stephen the Martyr",ܬܘܒ ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܕܣ̇ܗܕܐ ܡܪܝ ܐܣܛܐܦܐܢܘܣ܀
"Furthermore, the Readings of the Holy Feast of the Entry of our Lord in the hooly Temple",ܬܘܒ ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܩܕܝܫܐ ܕܡܥܠܬܗ ܕܡܪܢ ܠܗܝܟܠܐ ܩܕܝܫܐ܀
"Readings of the First Feast of Mar Barṣauma, that is after Entrance and before Holy Pentecost",ܩܪ̈ܝܢܐ ܕܥܐܕܐ ܏ܩܕ ܕܡܪܝ ܒܪܨܘܡܐ ܕܗܘ̇ܐ ܒܬܪ ܗ̇ܘ ܕܡܥܠܬܐ ܘܩܕܡ ܦܢܛܝܩܘܣܛܝ ܏ܩܕ܀
"Readings of the Rogations of the Second (Day) of the Week, of the Fast of Nineveh, First",ܩܪ̈ܝܢܐ ܕܒܥܘ̈ܬܐ ܕܬܪܝܢ ܒܫܒܐ ܕܨܘܡܐ ܕܢܝܢܘܐ ܏ܩܕ
"Readings of the Third Day of the Week, of the Rogations, First",ܩܪ̈ܝܢܐ ܝܘܡ ܬܠܬܐ ܒܫܒܐ ܕܒܥ̈ܘܬܐ ܏ܩܕ
"Readings of the Fourth Day of the Week, of the Rogations, First",ܩܪ̈ܝܢܐ ܕܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܕܒ̈ܥܘܬܐ ܏ܩܕ
"Furthermore, the Readings of Holy Mar Severus, the elect",ܬܘܒ ܩܪ̈ܝܢܐ ܕܩܕܝܫܐ ܡܪܝ ܣܐܘܝܪܐ ܓܒܝܐ܀
"Readings of the First (Day) of the Week, of the end, in it the Commemoration of Priests, deacons, the Just and the Rest, the memorial of the Fathers, First",ܩܪ̈ܝܢܐ ܕܚܕܒܫܲܒܐ ܕܡܫܬܡܠܐ ܒܗ ܕܘܟܪܢܐ ܕܟܗ̈ܢܐ ܘܡܫܡ̈ܫܢܐ ܘܟ̈ܐܢܐ ܘܒܫܪܟܐ ܕܗܘܐ ܥܘܗܕܢܐ ܕܐܒ̈ܗܬܐ ܏ܩܕ
"Readings, of the Second Day of the Week, of First Week, of the Fast",ܩܪ̈ܝܢܐ ܕܝܘܡ ܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ
"Readings of the Third (Day) of the Week, of the First Week, of the Fast",ܩܪ̈ܝܢܐ ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ܀
"Readings, of the Third (Day) of the Week, of the First Week of the Fast",ܩܪ̈ܝܢܐ ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ܀
"Readings of the Fourth Day of the Week, of First Week, of the Fast, First",ܩܪ̈ܝܢܐ ܕܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܕܫܒܬܐ ܩܕܡܝܐ ܏ܕܕܘ ܏ܩܕ
"Readings of Fifth Day, of the First Week of the Fast, First",ܩܪ̈ܝܢܐ ܕܝܘܡ ܚܡܫܐ ܕܫܒܬܐ ܩܕܡܝܬܐ ܕܨܘܡܐ ܏ܩܕ
"Readings of the First (Day) of the Week, of the Second, of the Holy Fast",ܩܪ̈ܝܢܐ ܕܝܘܡ ܏ܚܕܒܫ ܕܬܪܝܢ ܕܨܘܡܐ ܩܕܝܫܐ܀
"Readings of the First (Day) of the Week, the Third,, of the Fast, First",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܬܠ̈ܬܐ ܕܨܘܡܐ ܏ܩܕ܀
"Readings, of the First (Day) of the Week, the Fourth, of the Fast, First",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܨܘܡܐ ܏ܩܕ܀
"Readings of the Second (Day) of the Week, of the Middle Week of the Fast, First",ܩܪ̈ܝܢܐ ܕܬܪܝܢ ܒܫܒܐ ܕܫܒܬܐ ܡܨܥܝܬܐ ܕܨܘܡܐ ܏ܩܕ
"Readings of the Third Day of the Middle Week of Fast, First",ܩܪ̈ܝܢܐ ܕܬܠܬܐ ܒܫܒܐ ܕܫܒܬܐ ܡܨܥܝܬܐ ܕܨܘܡܐ ܏ܩܪ
"Readings of the Fourth Day of the Week, of the Middle of the Fast, First",ܩܪ̈ܝܢܐ ܕܝܘܡ ܐܪܒܥܐ ܒܫܒܐ ܕܦܠܓܗ ܕܨܘܡܐ ܏ܩܕ
"Readings of the Fifth (Day) of the Week, of the Fourth Week",ܩܪ̈ܝܢܐ ܕܚܡܫܐ ܒܫܒܐ ܕܫܒܬܐ ܕܐܪܒܥܐ܀
"Readings of the Day of the Eve of Preparation, of the Middle Week of the Fast, First",ܩܪ̈ܝܢܐ ܕܝܘܡ ܥܪܘܒܬܐ ܕܫܒܬܐ ܡܨܥܝܬܐ ܕܨܘܡܐ ܏ܩܕ ܀
"Readings of the Sixth Day of the Week, of the Middle Week of Fast, First",ܩܪ̈ܝܢܐ ܕܝܘܡ ܫܒܬܐ ܕܫܒܬܐ ܡܨܥܝܬܐ ܕܨܘܡܐ ܏ܩܕ
"Readings of the First (Day) of the Week, the 5th, of the Fast, First",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕ܏ܗ ܕܨܘܡܐ ܏ܩܕ
"Readings of the First (Day) of the Week, the Sixth, of the Fast, Readings",ܩܪ̈ܝܢܐ ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܨܘܡܐ ܏ܩܕ ܀
"Furthermore, the Readings on the Holy forthy Martyrs",ܬܘܒ ܩܪ̈ܝܢܐ ܕܥܠ ܐܪܒܥܝܢ ܣܗ̈ܖܖܐ(؟!) ܩܕ̈ܝܫܐ܀
"Readings of the Eve of Preparation, of the forthy, First",ܩܪ̈ܝܢܐ ܕܥܪܘܒܬܐ ܕܐܪܒܥܝܢ ܏ܩܕ
"this, on the Sabbath, of the Day of the wakening of Lazarus",ܗܢܐ ܥܠ ܫܒܬܐ ܕܝܘܡ ܢܘ̣ܚܡܗ ܕܠܥܙܪ܀
"First, of the Dawn of the First (Day) of the Week, of the Hosannas, First",ܘܩܕܡܝܬܐ ܕܢܓܗ̇ ܚܕ ܒܫܒܐ ܕܐܘ̈ܫܥܢܐ ܏ܩܕ
"Readings of the Morning of the First (Day) of the Week, of the Hosannas, First",ܩܪ̈ܝܢܐ ܕܨܦܪܐ ܕܚܕ ܒܫܒܐ ܕܐܘܫ̈ܥܢܐ ܏ܩܕ
"Readings, of the Second Day of the Week, of the Passion, First",ܩܪ̈ܝܢܐ ܕܝܘܡ ܬܪܝܢ ܒܫܒܐ ܕܚܫܐ ܏ܩܕ
of the 3rd Day of the Week of the Passion of the Saviour,ܕܝܘܡ ܕ܏ܓ ܒܫܒܐ ܚܫܐ ܦܪܘܩܝܐ܀
Readings of the 4th Day of the Week of Passion,ܩܪ̈ܝܢܐ ܕܝܘܡ ܏ܕܕ ܒܫܒܐ ܕܚܫܐ܀
